GeneID	C-1	C-2	C-3	H-1	H-2	H-3	L-1	L-2	L-3
slc24a2	0.000	0.000	0.000	0.000	0.014	0.014	0.000	0.000	0.000
tspan5b	1.364	1.216	1.334	0.571	0.525	0.620	2.431	2.763	1.474
grk4	2.176	2.162	2.222	0.519	0.762	0.677	0.708	0.699	0.278
snx8b	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.033	0.000
iqce	0.367	0.366	0.313	0.161	0.426	0.350	0.318	0.349	0.488
ttyh3b	0.167	0.171	0.174	0.257	0.212	0.181	0.401	0.574	0.714
zmp:0000001069	0.000	0.000	0.000	0.000	0.000	0.000	0.033	0.035	0.000
si:dkey-26i13.8	0.054	0.037	0.037	0.041	0.000	0.028	0.000	0.000	0.000
LOC127977755	0.802	0.695	0.709	0.127	0.227	0.069	0.232	0.281	0.364
LOC127942695	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127994722	0.119	0.122	0.125	0.048	0.038	0.025	0.141	0.106	0.007
knstrn	0.403	0.414	0.422	1.379	1.365	2.797	0.259	0.278	0.000
knl1	0.159	0.188	0.167	0.328	0.339	0.466	0.000	0.000	0.000
LOC127978590	0.395	0.371	0.378	0.198	0.313	0.327	0.018	0.010	0.066
LOC127942916	0.224	0.188	0.192	0.000	0.032	0.016	0.065	0.105	0.000
LOC127995032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127979057	0.453	0.448	0.423	0.209	0.726	0.459	0.416	0.320	0.424
LOC127979473	5.407	5.261	5.330	0.000	0.000	0.084	1.704	1.614	4.040
LOC127942347	0.284	0.241	0.228	0.111	0.107	0.103	0.118	0.108	0.153
LOC127979407	0.227	0.233	0.285	0.420	0.822	0.931	2.060	2.035	0.978
LOC127979266	0.526	0.478	0.488	1.011	1.372	2.108	0.472	0.454	0.360
LOC127979120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127979339	1.139	1.101	1.123	1.379	1.742	1.863	1.750	2.079	1.711
LOC127979173	2.501	2.166	2.236	1.426	1.284	0.917	0.761	0.871	0.912
LOC127979552	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127979938	2.749	2.822	2.659	2.084	1.858	1.469	2.643	2.098	2.731
LOC127979697	0.791	0.728	0.729	0.442	0.344	0.183	1.962	1.917	0.639
LOC127979779	35.782	36.118	35.198	26.023	32.468	34.895	42.428	44.062	25.157
LOC127979615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127980198	0.286	0.220	0.224	0.330	0.985	0.873	0.057	0.000	0.067
LOC127980356	36.911	36.084	35.940	16.204	12.434	8.866	20.663	19.866	22.344
LOC127980937	5.324	5.293	5.248	3.432	2.695	2.965	10.065	10.882	6.773
LOC127980672	4.487	4.501	4.560	2.699	2.304	2.034	5.310	5.017	3.473
LOC127981898	1.879	1.640	1.870	0.130	0.592	0.667	2.152	2.227	1.409
LOC127981574	0.778	0.699	1.140	0.576	0.597	0.414	0.531	0.620	4.264
LOC127981307	1.998	2.019	1.915	1.258	1.415	1.358	0.854	1.045	1.076
LOC127982340	0.000	0.000	0.000	0.023	0.097	0.078	0.000	0.000	0.000
LOC127982174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000
LOC127943019	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.028	0.091
LOC127983372	2.169	1.981	1.959	1.564	1.599	1.538	1.087	1.132	1.771
LOC127983523	0.061	0.125	0.064	0.000	0.143	0.160	0.309	0.174	0.474
mad1l1	0.873	0.775	0.840	0.677	0.762	0.670	0.758	0.712	0.807
elfn1b	0.076	0.078	0.080	0.000	0.000	0.008	0.015	0.033	0.036
LOC127983785	8.110	7.614	7.868	4.304	2.749	2.664	25.429	27.031	9.947
LOC127983861	2.995	3.039	3.017	1.893	1.785	1.538	2.159	1.779	1.934
LOC127983932	0.104	0.107	0.109	0.154	0.205	0.222	0.184	0.189	0.010
LOC127984086	0.036	0.037	0.038	0.000	0.000	0.000	0.000	0.000	0.000
LOC127984213	0.016	0.017	0.017	0.000	0.000	0.000	0.000	0.000	0.000
zgc:136472	0.297	0.271	0.277	0.153	0.390	0.391	0.000	0.000	0.000
LOC127984765	0.190	0.195	0.199	0.000	0.000	0.000	0.000	0.000	0.000
chtf18	1.316	1.267	1.305	1.012	1.036	1.589	0.571	0.522	1.025
LOC127984931	2.345	2.194	2.271	0.896	0.721	0.782	1.272	1.412	0.807
LOC127985097	0.353	0.423	0.370	5.708	5.893	8.109	0.012	0.063	0.166
LOC127985263	4.067	3.606	3.969	4.232	3.459	4.484	13.033	15.736	33.563
LOC127985382	0.776	0.761	0.721	0.375	0.340	0.390	0.439	0.342	0.149
LOC127985664	0.133	0.137	0.139	0.041	0.026	0.079	0.000	0.000	0.073
LOC127985525	1.053	0.993	1.003	0.200	0.405	0.342	0.275	0.213	0.302
