GeneID	C-1	C-2	C-3	H-1	H-2	H-3	L-1	L-2	L-3
prokr1b	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026550	0.000	0.000	0.000	0.291	0.341	0.068	0.000	0.000	0.000
LOC128026568	0.405	0.529	0.424	0.000	0.130	0.131	0.030	0.095	0.000
gtpbp2a	1.140	0.982	1.002	0.397	0.415	0.426	3.576	3.382	0.977
LOC128026562	38.910	39.109	39.064	27.241	26.583	33.297	37.383	33.981	72.850
tmem14a	37.694	37.957	39.098	17.321	13.657	18.156	35.430	39.730	33.227
LOC128026561	22.026	23.173	22.132	13.223	13.404	14.250	21.286	21.632	18.128
LOC128026563	35.274	33.966	33.653	7.943	8.491	9.626	9.495	8.863	5.082
LOC128026548	4.278	4.094	4.157	1.463	1.195	1.551	1.376	1.380	1.228
LOC128026557	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026651	0.081	0.083	0.085	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026722	0.938	0.970	0.929	0.523	0.177	0.537	0.862	0.903	0.464
LOC128026740	3.320	3.320	3.306	1.508	1.216	1.027	1.794	1.702	2.529
LOC128026721	2.641	2.393	2.478	2.222	1.892	1.952	1.921	1.793	2.240
LOC128026717	4.036	3.997	4.046	3.534	2.751	2.262	3.500	3.196	2.778
LOC128026744	0.000	0.000	0.000	0.053	0.072	0.018	0.165	0.099	0.000
LOC128026719	1.619	1.623	1.589	0.489	0.763	1.031	0.143	0.181	0.048
LOC128026727	0.061	0.062	0.063	0.056	0.084	0.108	0.000	0.000	0.000
LOC128026730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026729	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026743	0.000	0.000	0.000	0.102	0.101	0.080	0.000	0.000	0.017
LOC128026734	0.096	0.099	0.151	0.979	2.274	2.183	0.039	0.041	0.000
LOC128026726	4.373	4.294	4.474	3.091	2.473	3.538	2.261	2.097	2.322
LOC128026723	0.044	0.045	0.046	0.071	0.129	0.034	0.070	0.075	0.000
LOC128026724	4.590	4.498	4.443	2.659	2.821	2.542	6.854	6.924	5.800
LOC128026737	27.233	29.951	27.878	4.932	3.747	2.709	108.265	104.912	49.061
LOC128026728	20.687	20.767	20.239	12.899	12.030	11.466	31.052	30.583	34.438
LOC128026725	0.834	0.729	0.796	0.035	0.029	0.020	0.230	0.215	0.163
LOC128026715	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026741	0.186	0.233	0.195	0.000	0.000	0.000	0.332	0.196	0.019
wdr11	3.034	2.869	2.843	1.920	1.943	1.713	2.963	3.351	2.297
LOC128026731	0.587	0.544	0.584	0.331	0.203	0.226	1.816	1.603	1.113
LOC128026736	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026738	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026716	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026733	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026732	0.000	0.000	0.066	0.000	0.000	0.000	0.113	0.203	0.000
LOC128027310	3.569	3.787	3.663	5.128	4.668	3.604	13.765	13.517	14.694
LOC128027309	13.856	13.620	13.274	5.936	4.759	3.749	16.526	14.397	17.161
LOC128027068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027152	0.000	0.000	0.000	0.000	0.020	0.020	0.000	0.000	0.024
LOC128027155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027151	0.021	0.011	0.011	0.000	0.000	0.000	0.041	0.009	0.000
LOC128027150	0.062	0.064	0.044	0.067	0.098	0.074	0.134	0.036	0.000
LOC128027069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027005	0.169	0.142	0.145	0.468	0.351	0.145	0.074	0.132	0.302
LOC128027163	53.989	54.742	54.397	66.129	55.499	42.723	280.265	271.323	81.286
LOC128027161	173.002	173.918	174.556	189.741	194.739	186.925	700.538	691.909	227.382
LOC128027159	0.464	0.425	0.539	0.441	0.544	0.327	1.774	1.460	0.470
LOC128027157	19.770	19.368	19.326	4.558	3.975	2.607	7.729	8.566	6.348
LOC128027160	112.118	110.589	107.840	78.045	61.070	54.928	127.812	132.750	94.002
LOC128027158	687.843	680.218	672.706	469.519	387.980	315.891	486.400	487.386	506.916
LOC128027581	4.095	3.892	3.970	1.670	1.140	0.944	0.241	0.322	0.718
asb5a	1.975	1.952	1.991	1.981	1.963	1.427	4.894	5.569	4.030
LOC128027165	0.000	0.000	0.027	0.446	0.200	0.180	0.561	0.580	0.155
LOC128027043	0.000	0.000	0.000	0.011	0.020	0.000	0.000	0.000	0.000
LOC128027167	3.103	3.055	3.072	0.826	0.882	0.660	6.308	7.036	3.041
LOC128027166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027074	0.000	0.000	0.000	0.032	0.081	0.108	0.000	0.000	0.000
LOC128027782	0.513	0.557	0.476	0.461	0.566	0.393	0.200	0.126	0.000
LOC128027640	0.000	0.000	0.000	0.019	0.011	0.000	0.000	0.000	0.000
LOC128027170	1.577	1.632	1.546	0.618	0.885	0.866	0.557	0.326	0.532
LOC128027171	5.265	5.193	5.137	2.768	3.526	4.788	1.169	0.956	1.389
LOC128027173	3.656	3.476	3.546	3.591	2.062	2.777	3.264	2.296	5.203
LOC128027172	3.552	3.298	3.381	2.223	2.619	3.185	1.794	1.709	1.835
LOC128027198	0.428	0.439	0.448	0.062	0.000	0.089	0.036	0.155	0.127
LOC128027197	5.472	5.424	5.546	6.827	7.048	7.946	1.696	1.721	1.374
LOC128027176	0.998	1.025	1.153	1.528	1.193	0.869	0.968	1.246	1.870
LOC128027175	0.364	0.374	0.395	0.985	0.850	0.713	0.368	0.325	0.518
LOC128027177	8.857	9.239	8.763	6.934	6.960	5.991	14.145	12.896	12.857
LOC128027178	0.419	0.430	0.388	0.045	0.146	0.177	0.031	0.084	0.018
LOC128027180	0.145	0.139	0.121	0.054	0.076	0.061	0.000	0.000	0.000
LOC128027181	0.013	0.013	0.013	0.000	0.000	0.000	0.000	0.011	0.000
LOC128027182	1.547	1.580	1.530	0.286	0.386	0.346	1.485	1.334	1.136
LOC128027183	2.141	2.034	2.087	1.020	0.934	0.791	0.862	0.726	0.739
LOC128027186	0.363	0.324	0.330	0.022	0.000	0.031	0.228	0.286	0.148
LOC128027185	0.248	0.281	0.242	0.451	0.512	0.641	0.351	0.383	0.241
LOC128027187	1.131	1.208	1.137	30.721	31.475	34.590	0.182	0.234	0.594
LOC128027052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027122	0.000	0.000	0.000	0.017	0.000	0.014	0.000	0.000	0.000
LOC128027737	0.333	0.342	0.310	0.103	0.160	0.292	0.089	0.096	0.346
LOC128027736	1.463	1.440	1.385	0.537	0.331	0.601	0.580	0.587	0.469
LOC128027046	0.000	0.039	0.000	1.943	2.832	3.240	0.000	0.000	0.000
LOC128027130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027240	0.000	0.000	0.000	0.000	0.000	0.000	0.101	0.000	0.000
LOC128027189	0.093	0.096	0.098	0.012	0.000	0.011	0.011	0.057	0.000
LOC128027190	2.241	2.133	2.153	0.321	0.210	0.362	0.398	0.414	0.797
LOC128026967	4.442	4.240	4.357	5.064	5.668	6.885	5.931	5.878	5.159
LOC128027662	0.968	0.951	0.960	0.482	0.566	0.378	0.661	0.556	0.390
LOC128027191	0.260	0.245	0.272	0.154	0.090	0.102	0.104	0.090	0.039
LOC128027133	0.068	0.070	0.071	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026959	1.563	1.675	1.661	1.006	0.981	1.036	1.565	1.816	1.698
LOC128027193	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027194	53.496	52.454	54.288	22.626	23.233	25.735	29.073	26.087	23.215
si:ch73-335m24.2	1.397	1.295	1.180	0.708	0.461	0.515	1.611	1.243	0.084
LOC128027195	3.213	3.260	3.161	3.194	3.449	3.032	5.027	5.132	3.613
LOC128027202	1.868	1.881	2.013	1.080	1.231	1.233	0.621	0.666	0.505
LOC128027201	4.994	5.037	4.782	3.080	4.164	4.861	4.161	4.842	5.309
LOC128027204	0.911	0.936	0.955	0.742	0.919	0.791	1.172	1.320	0.683
LOC128027205	9.681	9.335	9.169	8.059	9.649	11.721	7.913	8.708	12.069
LOC128027200	7.078	7.268	7.038	7.102	7.642	9.163	6.399	5.639	4.847
LOC128027207	5.442	5.455	5.413	2.334	2.605	2.201	9.557	10.660	5.662
LOC128027206	0.108	0.111	0.113	0.411	0.244	0.425	0.151	0.023	0.088
LOC128027210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027208	0.436	0.351	0.333	0.240	0.408	0.139	0.331	0.335	0.309
LOC128027211	27.448	28.703	27.793	28.464	28.563	26.665	19.603	19.954	24.728
LOC128027212	17.179	17.816	16.720	31.299	35.952	40.862	49.145	44.500	66.750
LOC128027213	5.435	5.387	5.231	4.751	4.232	4.932	4.859	4.373	4.372
LOC128027216	295.780	301.927	301.141	336.679	371.409	418.139	363.682	371.948	670.796
LOC128027214	6.186	5.752	5.623	2.872	2.390	1.676	3.320	3.360	2.997
LOC128027217	10.536	10.272	10.100	7.282	7.494	8.421	7.637	7.788	11.222
LOC128027219	11.410	10.919	11.029	6.550	7.146	5.882	10.569	10.693	10.111
LOC128027218	1.720	1.543	1.555	1.289	1.412	1.243	2.487	2.497	3.529
LOC128027220	2.503	2.415	2.444	2.036	3.320	3.117	4.279	4.120	6.436
LOC128026969	7.551	7.293	7.234	6.467	6.609	8.979	1.618	1.892	1.834
LOC128027221	0.738	0.729	0.758	1.036	1.388	1.504	1.070	1.107	0.525
LOC128027222	0.080	0.041	0.042	0.092	0.031	0.110	0.128	0.052	0.000
LOC128027223	1.689	1.734	1.711	1.192	1.217	1.202	1.091	1.177	0.575
LOC128027019	0.000	0.000	0.000	0.235	0.025	0.225	0.000	0.000	0.000
LOC128027491	5.387	5.330	5.006	4.602	4.460	3.632	5.398	5.589	4.974
LOC128027224	46.578	46.437	47.027	12.379	10.584	9.726	31.335	31.693	30.157
LOC128027225	4.459	4.468	4.266	1.031	0.912	0.778	5.598	5.599	5.424
LOC128027226	215.944	226.046	211.555	129.225	142.804	146.654	529.240	531.880	385.243
LOC128027229	1.025	1.064	0.951	0.808	0.725	0.735	1.694	1.486	0.622
LOC128027231	11.954	11.685	11.619	7.915	8.166	7.325	15.115	15.019	13.392
LOC128027228	0.462	0.430	0.450	0.756	0.821	0.950	1.010	0.862	0.433
LOC128027230	0.000	0.000	0.000	0.000	0.105	0.075	0.000	0.000	0.000
LOC128027227	2.190	2.162	2.124	0.681	0.617	0.642	0.221	0.309	0.325
LOC128026989	0.060	0.124	0.032	0.056	0.166	0.202	0.218	0.117	0.085
LOC128027233	0.082	0.042	0.043	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027234	4.981	4.856	4.861	3.033	2.642	2.219	2.283	2.208	2.433
LOC128027236	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027237	0.019	0.019	0.058	0.000	0.000	0.000	0.007	0.024	0.000
LOC128027242	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027243	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027248	0.158	0.162	0.165	0.103	0.080	0.154	0.127	0.136	0.000
LOC128027247	1.774	1.639	1.641	0.451	0.897	1.003	1.283	0.866	0.623
LOC128027249	62.920	64.493	61.800	42.775	37.997	32.824	63.135	63.331	82.189
LOC128027246	5.660	5.260	5.292	2.351	2.015	1.736	2.292	2.077	2.652
LOC128027251	0.017	0.018	0.162	0.048	0.014	0.041	0.111	0.089	0.000
LOC128027042	0.000	0.000	0.000	0.026	0.087	0.120	0.000	0.000	0.000
LOC128027156	0.000	0.000	0.000	0.177	0.030	0.181	0.000	0.000	0.000
adgrg4a	0.086	0.088	0.090	0.449	0.641	0.800	0.000	0.000	0.000
LOC128027252	4.010	3.830	3.796	4.248	3.612	3.606	3.673	3.850	3.633
LOC128027254	0.846	0.798	0.862	0.042	0.108	0.054	0.110	0.138	0.129
LOC128027255	1.202	1.305	1.157	0.585	0.755	0.833	1.105	1.222	1.191
LOC128027260	8.196	8.383	7.519	10.255	9.360	10.827	14.217	13.336	11.491
LOC128027256	9.249	8.773	8.998	7.747	6.147	4.652	5.673	5.763	4.593
LOC128027259	8.515	8.343	8.456	6.988	6.524	5.366	2.920	3.603	4.939
LOC128027261	1.432	1.401	1.406	1.252	1.216	1.006	0.926	1.157	1.824
LOC128027262	16.384	16.222	16.684	16.394	15.188	14.852	81.134	83.898	50.311
LOC128027263	3.017	3.061	3.066	3.385	4.710	5.182	3.528	3.970	3.211
LOC128027264	2.547	2.596	2.638	1.702	1.831	2.071	5.339	5.811	2.496
LOC128026978	0.079	0.081	0.083	0.000	0.033	0.029	0.005	0.000	0.000
LOC128027265	0.215	0.229	0.208	0.000	0.050	0.056	0.038	0.082	0.000
LOC128027266	0.652	0.510	0.520	0.574	0.318	0.355	1.683	1.511	0.407
LOC128027268	4.182	4.201	4.118	1.466	1.597	1.683	1.705	1.659	1.301
LOC128027269	6.404	6.108	6.231	3.786	4.371	4.406	3.611	4.093	3.989
LOC128026961	0.121	0.125	0.000	0.281	0.191	0.096	0.927	0.837	1.024
il2rgb	0.174	0.169	0.152	0.224	0.122	0.160	1.058	0.951	1.578
LOC128027108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sesn4	0.622	0.461	0.492	0.878	0.876	1.256	0.066	0.053	0.029
LOC128027270	4.574	4.514	4.454	3.508	3.053	3.001	9.952	9.243	6.661
LOC128027000	0.049	0.051	0.052	0.286	0.487	0.488	0.109	0.149	0.232
slc7a3b	0.269	0.238	0.243	0.154	0.146	0.205	0.373	0.320	0.156
LOC128027272	9.089	8.886	9.227	7.934	8.294	7.487	14.007	12.799	7.124
LOC128027274	1.598	1.613	1.645	0.771	0.538	0.377	0.691	0.624	0.307
cfl1	98.442	96.943	102.819	98.317	125.753	143.414	164.904	165.027	178.440
LOC128027273	3.114	3.091	3.071	1.620	1.891	1.976	4.202	3.781	2.468
LOC128027275	0.583	0.438	0.417	0.026	0.011	0.011	0.720	1.129	0.133
LOC128027276	11.546	11.338	10.943	8.248	7.042	5.916	18.866	20.930	13.091
LOC128027490	43.839	44.485	42.451	8.677	6.500	4.915	87.104	84.750	25.615
LOC128027450	1.067	1.210	1.181	0.677	0.488	0.545	1.323	1.480	1.257
LOC128026973	10.498	11.144	10.692	5.925	5.572	3.597	10.490	9.375	6.398
LOC128027280	1.349	1.232	1.256	0.466	0.290	0.280	0.975	1.093	0.268
LOC128027279	0.000	0.000	0.000	0.202	0.196	0.012	0.025	0.000	0.000
LOC128027338	0.079	0.081	0.059	0.042	0.044	0.035	0.054	0.174	0.053
LOC128027340	7.930	7.294	7.671	9.424	12.277	13.902	15.575	14.194	25.648
LOC128027341	0.000	0.000	0.000	0.887	1.703	2.091	0.000	0.000	0.000
LOC128027116	0.538	0.567	0.520	0.741	0.881	1.122	0.011	0.048	0.078
LOC128026981	0.264	0.217	0.221	0.379	0.073	0.323	0.042	0.023	0.000
LOC128027282	0.000	0.000	0.000	0.103	0.264	0.265	0.022	0.000	0.000
LOC128027283	4.281	4.267	4.319	6.164	5.003	4.268	3.162	3.014	5.305
LOC128027286	0.097	0.100	0.102	0.169	0.010	0.125	0.000	0.000	0.046
LOC128027287	0.053	0.054	0.056	0.000	0.000	0.000	0.000	0.000	0.249
LOC128027285	1.072	0.960	0.945	0.502	0.556	0.903	0.032	0.023	0.000
LOC128027139	0.088	0.091	0.092	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026988	6.469	6.566	6.439	4.727	4.318	4.577	17.833	19.367	15.524
LOC128027115	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.023	0.250
LOC128027293	111.099	108.438	110.436	62.814	45.642	32.175	99.118	98.763	87.215
LOC128027292	7.669	7.613	7.449	5.387	3.735	3.314	4.666	5.788	5.338
LOC128027290	0.093	0.095	0.086	0.033	0.085	0.134	0.000	0.000	0.000
LOC128027295	0.000	0.000	0.000	0.089	0.025	0.076	0.000	0.000	0.000
LOC128027076	0.076	0.078	0.079	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027289	0.047	0.041	0.057	0.097	0.140	0.183	0.000	0.006	0.000
LOC128027294	0.103	0.079	0.081	0.131	0.101	0.081	0.000	0.000	0.000
LOC128027077	0.000	0.000	0.000	0.031	0.559	0.533	0.000	0.000	0.000
LOC128027308	0.060	0.062	0.089	0.380	0.314	0.343	0.165	0.177	0.000
LOC128027300	4.763	4.465	4.513	3.879	3.285	3.127	4.077	4.324	4.237
LOC128027301	13.797	12.834	13.109	7.753	8.391	8.813	15.814	16.393	14.023
LOC128027028	0.908	0.965	0.781	0.540	1.021	1.074	0.755	1.062	1.701
LOC128027302	25.659	27.605	24.400	2.772	2.861	2.337	182.827	182.189	58.589
LOC128027304	27.663	28.048	26.748	24.207	19.486	21.687	43.759	41.753	67.386
LOC128027303	0.286	0.350	0.277	0.092	0.156	0.087	1.910	1.604	1.186
LOC128027306	1.931	2.014	1.894	1.014	1.062	1.209	2.032	1.770	1.486
LOC128027307	277.851	268.495	265.825	136.987	111.702	84.525	127.358	123.298	200.567
LOC128026944	0.151	0.123	0.126	0.082	0.123	0.181	0.000	0.000	0.000
LOC128027314	0.430	0.390	0.389	0.164	0.193	0.273	0.264	0.334	0.103
LOC128027311	1.638	1.501	1.509	0.918	1.057	1.046	1.681	1.408	0.738
LOC128027316	78.744	79.768	77.130	69.353	74.007	83.595	120.314	121.703	112.469
LOC128026966	2.880	3.024	2.948	5.419	5.028	6.352	3.918	4.006	5.337
LOC128027452	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026838	0.152	0.130	0.159	0.888	0.677	0.399	0.162	0.152	0.450
LOC128027318	2.246	2.104	1.992	0.681	0.527	0.644	1.306	1.100	1.161
LOC128027114	0.572	0.542	0.553	0.122	0.087	0.208	0.000	0.000	0.041
LOC128027319	1.489	1.489	1.437	0.737	0.947	0.670	0.903	0.676	0.196
LOC128027323	5.540	5.006	5.243	5.378	4.841	5.360	6.572	7.300	7.097
LOC128027322	6.988	6.830	7.143	6.101	5.196	5.579	9.575	9.102	8.411
LOC128027324	4.139	4.195	4.037	1.742	1.063	1.233	1.727	1.654	0.333
LOC128027321	0.756	0.708	0.723	0.182	0.181	0.052	0.053	0.094	0.421
lman2	14.888	14.693	14.141	10.386	9.271	8.463	20.318	19.774	13.789
LOC128027330	10.706	11.010	10.599	10.001	11.707	12.760	39.799	38.062	22.693
LOC128027327	1.098	1.179	1.185	0.781	0.758	1.213	2.388	2.548	2.659
LOC128027331	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027328	0.222	0.212	0.278	1.038	1.035	1.130	0.261	0.318	0.221
LOC128027320	0.022	0.022	0.023	0.004	0.002	0.000	0.000	0.004	0.027
LOC128027326	0.000	0.000	0.000	0.053	0.045	0.067	0.000	0.000	0.000
LOC128027335	0.392	0.390	0.373	0.209	0.084	0.215	0.391	0.164	0.133
atox1	0.900	0.990	0.741	3.926	5.472	6.190	4.134	2.772	8.257
sparc	13.531	13.545	12.643	2.267	1.602	1.748	2.472	1.798	1.197
LOC128027337	10.531	10.564	9.980	9.469	12.797	14.014	10.375	10.268	8.638
LOC128027014	0.134	0.123	0.125	0.065	0.061	0.089	0.073	0.127	0.132
LOC128027055	8.939	8.889	8.773	5.320	3.964	3.181	6.429	6.385	6.854
LOC128026974	119.920	114.330	115.585	30.644	24.593	19.211	29.898	32.016	54.175
LOC128027487	0.068	0.086	0.072	0.014	0.000	0.024	0.000	0.000	0.000
LOC128027035	5.299	5.221	5.139	1.614	1.143	0.885	4.257	4.406	2.145
LOC128027342	0.029	0.059	0.030	0.147	0.272	0.193	0.637	0.720	0.513
LOC128027344	0.000	0.000	0.000	0.000	0.036	0.036	0.000	0.000	0.000
si:rp71-1d10.8	0.021	0.021	0.022	0.038	0.016	0.000	0.766	0.429	0.583
LOC128027346	6.348	6.143	6.296	3.600	3.875	3.608	3.667	3.814	6.027
tmem216	0.132	0.135	0.138	0.244	0.225	0.173	0.159	0.057	0.062
pde6a	0.036	0.037	0.038	0.000	0.000	0.000	0.088	0.115	0.000
ppargc1b	7.668	7.108	7.257	2.734	2.436	2.381	6.695	6.747	3.697
arhgef37	1.444	1.304	1.340	0.298	0.343	0.302	0.405	0.443	0.310
LOC128027348	0.776	0.754	0.788	0.197	0.168	0.187	0.067	0.005	0.094
cxcl14	15.715	15.324	14.780	4.801	3.976	5.151	4.766	4.000	5.514
LOC128027350	15.278	16.484	15.008	2.656	2.076	1.834	23.759	23.799	15.752
klhl3	1.031	1.180	1.035	0.725	0.778	0.534	1.061	1.092	0.493
hnrnpa0a	26.721	26.983	25.869	8.824	7.679	7.922	19.305	20.173	16.307
dpf2l	3.498	3.280	3.396	3.502	3.737	3.730	4.081	3.731	6.436
chrm1a	0.000	0.023	0.000	0.000	0.018	0.072	0.092	0.020	0.384
LOC128027140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
stc2a	0.036	0.037	0.037	0.148	0.140	0.056	0.014	0.015	0.100
LOC128027357	3.043	3.048	2.981	1.382	1.279	1.350	1.637	1.938	1.846
il4	3.667	3.564	3.482	1.628	1.001	1.138	2.710	2.023	8.131
LOC128027362	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
drd1a	0.320	0.365	0.335	0.247	0.364	0.435	1.057	0.720	0.616
LOC128027359	1.592	1.577	1.567	0.908	1.085	1.124	1.113	0.880	1.937
sh3rf2	0.293	0.324	0.283	0.281	0.524	0.631	0.081	0.019	0.327
kctd16a	0.000	0.000	0.000	0.039	0.013	0.007	0.000	0.000	0.000
LOC128027365	4.179	3.866	3.872	2.160	2.390	2.787	4.971	4.932	3.569
LOC128027366	37.055	35.790	36.206	18.267	18.711	15.806	56.805	57.387	31.222
LOC128027367	12.809	13.624	12.739	9.665	9.210	9.497	19.934	21.879	24.914
mars2	1.813	1.786	2.148	2.930	3.520	3.192	2.619	2.494	2.299
LOC128027368	2.487	2.416	2.414	1.616	1.414	1.146	2.463	2.088	2.049
LOC128027370	1.735	1.678	1.642	1.160	0.909	0.753	2.326	2.381	2.576
LOC128027371	1.296	1.297	1.243	0.685	0.721	0.404	0.507	0.582	0.643
LOC128027373	0.000	0.000	0.000	0.105	0.141	0.205	0.000	0.000	0.000
LOC128027377	5.227	5.617	5.753	3.114	2.931	2.219	9.093	9.259	13.220
LOC128027376	7.476	7.212	7.386	5.569	5.633	5.407	6.291	5.665	8.913
sowahab	0.362	0.395	0.379	0.115	0.143	0.152	0.254	0.214	0.307
LOC128027374	30.330	29.932	29.779	10.327	7.755	5.260	26.080	27.062	32.145
atp10b	0.353	0.376	0.363	0.065	0.040	0.035	0.454	0.498	1.595
gabrb2a	0.063	0.065	0.066	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027382	0.000	0.000	0.000	0.038	0.060	0.011	0.044	0.089	0.026
nudcd2	4.999	4.682	4.638	5.313	5.043	6.849	9.864	10.167	10.190
ccng1	27.672	28.182	28.085	19.862	24.787	26.753	35.259	36.650	37.415
LOC128027388	0.951	0.977	0.864	0.645	1.574	1.126	0.510	0.847	1.100
tmx2a	0.000	0.069	0.000	0.093	0.000	0.079	0.000	0.115	0.094
si:dkey-6i22.5	0.000	0.000	0.000	1.635	0.806	1.394	0.000	0.000	0.000
slc43a1a	16.634	16.469	15.917	7.278	6.938	4.334	17.812	17.349	14.436
clcf1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ssrp1a	0.304	0.313	0.319	2.905	3.172	2.969	2.434	2.182	2.061
LOC128027392	0.030	0.026	0.035	0.016	0.017	0.030	0.020	0.026	0.024
LOC128027396	0.131	0.118	0.120	0.091	0.129	0.129	0.026	0.000	0.169
LOC128027397	0.117	0.106	0.108	0.072	0.204	0.255	0.135	0.078	0.036
klb	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128026986	0.000	0.000	0.149	0.000	0.000	0.000	0.228	0.061	0.200
LOC128026837	2.969	2.961	2.985	1.467	0.917	1.251	2.738	3.068	2.719
LOC128027402	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027400	0.039	0.040	0.041	0.009	0.008	0.015	0.000	0.000	0.000
dele1	6.752	6.753	6.471	5.229	5.257	5.088	22.558	20.221	17.759
fgf2	2.532	2.587	2.437	0.892	1.164	1.328	1.188	1.163	0.927
spata5	1.963	1.845	1.853	0.217	0.392	0.349	3.921	3.146	3.291
spry1	8.570	8.094	7.917	1.552	2.627	2.743	1.413	1.673	0.644
LOC128027412	0.780	0.768	0.783	0.221	0.222	0.171	0.192	0.149	0.782
LOC128027408	4.516	4.354	4.398	2.298	1.821	1.513	2.630	2.899	3.711
LOC128027411	0.683	0.673	0.701	0.025	0.032	0.032	0.187	0.459	0.615
LOC128027409	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027404	0.329	0.322	0.315	0.028	0.010	0.033	0.018	0.019	0.006
LOC128027405	0.010	0.010	0.011	0.033	0.032	0.008	0.033	0.009	0.114
LOC128027418	0.048	0.049	0.050	0.000	0.000	0.000	0.038	0.000	0.000
leprotl1	5.482	5.129	5.343	2.526	4.019	5.026	6.122	5.912	3.947
LOC128027414	8.057	8.073	7.737	2.757	2.825	2.164	2.829	2.812	3.887
tmem107	1.252	1.509	1.311	1.208	2.101	1.674	0.175	0.235	0.663
LOC128027415	0.156	0.321	0.218	1.085	1.951	2.160	0.000	0.000	0.000
LOC128027406	2.372	2.334	2.426	1.071	1.057	1.420	1.396	1.278	0.986
nkx3-2	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000
LOC128027417	0.000	0.000	0.000	0.027	0.244	0.314	0.012	0.000	0.014
LOC128027413	0.569	0.533	0.543	0.155	0.185	0.132	0.040	0.072	0.141
LOC128027420	0.665	0.628	0.641	0.025	0.063	0.000	0.128	0.183	0.249
LOC128027410	0.210	0.216	0.220	0.088	0.196	0.121	0.015	0.016	0.054
hs3st1	4.431	4.419	4.190	1.803	1.516	1.917	1.953	2.226	0.878
LOC128027424	2.036	2.175	2.045	0.576	1.178	1.049	0.668	0.698	1.246
LOC128027423	1.537	1.534	1.420	0.934	1.027	1.076	0.930	0.774	1.205
wdr1	12.670	12.752	12.529	7.659	7.985	8.984	8.416	7.607	6.806
LOC128027440	4.082	4.191	4.067	2.302	1.725	1.610	1.280	1.201	1.959
slc2a9l2	6.769	6.789	6.508	2.276	1.904	1.088	4.090	4.168	2.465
drd5a	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC128027441	0.000	0.019	0.000	0.017	0.000	0.030	0.030	0.000	0.000
tmem128	2.179	2.193	2.146	0.766	2.026	2.407	2.556	1.916	2.492
stx18	11.822	11.612	11.420	4.880	5.365	5.776	7.187	6.844	9.358
LOC128027438	0.454	0.404	0.412	0.196	0.572	0.382	0.097	0.000	0.283
LOC128027426	2.649	2.398	2.459	2.288	1.681	2.258	1.614	1.710	1.024
