##total input seqs number with gos: 2670
namespace	description	number	percent	id	genes
BP	immune system process	82	0.0307116104868914	GO:0002376	LOC127935149;LOC127935836;LOC127938281;LOC127938428;LOC127938614;LOC127941544;LOC127941936;LOC127942622;LOC127944228;LOC127948938;LOC127950555;LOC127950597;LOC127950869;LOC127951417;LOC127952613;LOC127957482;LOC127958027;LOC127958814;LOC127962168;LOC127962209;LOC127962450;LOC127963406;LOC127963769;LOC127965940;LOC127966579;LOC127967723;LOC127970662;LOC127970724;LOC127971343;LOC127971689;LOC127971969;LOC127972169;LOC127975152;LOC127975153;LOC127975154;LOC127976081;LOC127978721;LOC127984241;LOC127985604;LOC127987394;LOC127987397;LOC127987401;LOC127988123;LOC128010742;LOC128011269;LOC128012912;LOC128014932;LOC128016361;LOC128017159;LOC128017435;LOC128020245;LOC128021302;LOC128021984;LOC128024495;LOC128025262;LOC128025518;LOC128026448;LOC128027459;LOC128029128;LOC128029302;LOC128030231;LOC128030611;LOC128030613;ccl20b;ccl20l;ccl25b;ctsk;cxcl12b;frk;fynb;g6fl;hells;itga6l;itga7;kita;lyn;mfsd6a;si:ch211-188c16.1;si:dkey-88e18.2;themis2;xrcc4;zpd
MF	catalytic activity	744	0.278651685393258	GO:0003824	LOC127933241;LOC127933310;LOC127933546;LOC127933616;LOC127933777;LOC127933779;LOC127934008;LOC127934243;LOC127934357;LOC127934577;LOC127934602;LOC127934635;LOC127934732;LOC127934736;LOC127934752;LOC127934764;LOC127934878;LOC127934913;LOC127934966;LOC127935159;LOC127935394;LOC127935404;LOC127935415;LOC127935432;LOC127935480;LOC127935481;LOC127935482;LOC127935517;LOC127935518;LOC127935681;LOC127935724;LOC127935822;LOC127935836;LOC127938005;LOC127938093;LOC127938096;LOC127938434;LOC127938552;LOC127938614;LOC127938631;LOC127938789;LOC127938895;LOC127938901;LOC127938939;LOC127938944;LOC127938948;LOC127938969;LOC127939046;LOC127939331;LOC127941400;LOC127941485;LOC127941510;LOC127941519;LOC127941544;LOC127941603;LOC127941643;LOC127941800;LOC127941979;LOC127941981;LOC127941988;LOC127942001;LOC127942045;LOC127942054;LOC127942055;LOC127942191;LOC127942333;LOC127942417;LOC127942588;LOC127942728;LOC127942841;LOC127942843;LOC127942862;LOC127944228;LOC127944500;LOC127944503;LOC127944572;LOC127944663;LOC127944706;LOC127944855;LOC127944924;LOC127945009;LOC127945122;LOC127945166;LOC127945828;LOC127945868;LOC127945926;LOC127945930;LOC127945990;LOC127946210;LOC127946245;LOC127946252;LOC127946326;LOC127946346;LOC127946368;LOC127946382;LOC127946431;LOC127946605;LOC127946606;LOC127946726;LOC127946900;LOC127947049;LOC127947089;LOC127947266;LOC127947271;LOC127947375;LOC127947390;LOC127947399;LOC127947426;LOC127948140;LOC127948167;LOC127948756;LOC127948922;LOC127949187;LOC127949196;LOC127949251;LOC127949377;LOC127950387;LOC127950492;LOC127950497;LOC127951139;LOC127951338;LOC127951586;LOC127951648;LOC127951778;LOC127951850;LOC127952019;LOC127952020;LOC127952535;LOC127952567;LOC127952606;LOC127952854;LOC127952860;LOC127952872;LOC127952895;LOC127953165;LOC127953219;LOC127953250;LOC127953327;LOC127953592;LOC127953624;LOC127956148;LOC127956149;LOC127956188;LOC127956216;LOC127956234;LOC127956506;LOC127956706;LOC127957204;LOC127957275;LOC127957325;LOC127957368;LOC127957482;LOC127957520;LOC127958014;LOC127958015;LOC127958286;LOC127958320;LOC127958578;LOC127958897;LOC127959124;LOC127959143;LOC127959385;LOC127959557;LOC127959735;LOC127959835;LOC127960121;LOC127960251;LOC127961587;LOC127961698;LOC127961952;LOC127962138;LOC127962631;LOC127963424;LOC127963554;LOC127963818;LOC127963966;LOC127964047;LOC127964316;LOC127964321;LOC127964335;LOC127964511;LOC127964667;LOC127964763;LOC127965142;LOC127965869;LOC127965938;LOC127965980;LOC127966173;LOC127966313;LOC127966571;LOC127966730;LOC127966814;LOC127966870;LOC127966873;LOC127967921;LOC127968039;LOC127968130;LOC127968194;LOC127968566;LOC127968576;LOC127968662;LOC127969093;LOC127969125;LOC127969318;LOC127969324;LOC127969542;LOC127969632;LOC127970054;LOC127970216;LOC127970397;LOC127970575;LOC127970606;LOC127970662;LOC127971075;LOC127971200;LOC127971278;LOC127971343;LOC127971402;LOC127971424;LOC127971441;LOC127971597;LOC127971689;LOC127971841;LOC127972100;LOC127972319;LOC127972331;LOC127972661;LOC127972919;LOC127974261;LOC127974650;LOC127974898;LOC127974988;LOC127975042;LOC127975050;LOC127975152;LOC127975153;LOC127975154;LOC127975463;LOC127975488;LOC127975940;LOC127976039;LOC127976081;LOC127976190;LOC127976348;LOC127976418;LOC127976458;LOC127976516;LOC127976753;LOC127976755;LOC127977001;LOC127977133;LOC127977143;LOC127977162;LOC127977266;LOC127977698;LOC127977912;LOC127978571;LOC127979155;LOC127979174;LOC127979323;LOC127979341;LOC127979414;LOC127979415;LOC127979715;LOC127980277;LOC127983484;LOC127983768;LOC127983769;LOC127983771;LOC127983909;LOC127984037;LOC127984159;LOC127984438;LOC127984496;LOC127985097;LOC127985353;LOC127985377;LOC127985384;LOC127985390;LOC127985933;LOC127986070;LOC127986281;LOC127986288;LOC127986385;LOC127986403;LOC127986523;LOC127986603;LOC127986628;LOC127987031;LOC127987032;LOC127987131;LOC127988016;LOC127988088;LOC127988165;LOC127988420;LOC127990317;LOC127990524;LOC127990870;LOC127991155;LOC127993125;LOC127994850;LOC127996230;LOC127997109;LOC128000020;LOC128005527;LOC128007958;LOC128009669;LOC128010474;LOC128010826;LOC128011089;LOC128011269;LOC128011429;LOC128011538;LOC128011559;LOC128011673;LOC128011730;LOC128011736;LOC128011753;LOC128011900;LOC128011983;LOC128012821;LOC128012829;LOC128012878;LOC128013044;LOC128013246;LOC128013701;LOC128013716;LOC128013882;LOC128013885;LOC128014022;LOC128014116;LOC128014228;LOC128014545;LOC128014760;LOC128014909;LOC128014911;LOC128015012;LOC128015151;LOC128015360;LOC128015523;LOC128015526;LOC128015540;LOC128015552;LOC128015652;LOC128015708;LOC128015769;LOC128015770;LOC128015776;LOC128015843;LOC128015864;LOC128016032;LOC128016113;LOC128016114;LOC128016523;LOC128016609;LOC128016828;LOC128016899;LOC128017038;LOC128017121;LOC128017311;LOC128017418;LOC128017745;LOC128017777;LOC128018257;LOC128018353;LOC128018534;LOC128018542;LOC128018622;LOC128018626;LOC128018661;LOC128018675;LOC128018749;LOC128018760;LOC128018793;LOC128018829;LOC128018833;LOC128018916;LOC128018938;LOC128019060;LOC128019615;LOC128019684;LOC128019694;LOC128019703;LOC128019753;LOC128019799;LOC128019856;LOC128019883;LOC128019945;LOC128020108;LOC128020218;LOC128020613;LOC128020633;LOC128020700;LOC128020737;LOC128020819;LOC128020955;LOC128020966;LOC128020968;LOC128020971;LOC128020976;LOC128021062;LOC128021106;LOC128021204;LOC128021239;LOC128021291;LOC128021293;LOC128021351;LOC128021360;LOC128021441;LOC128021527;LOC128021549;LOC128021945;LOC128021952;LOC128021987;LOC128022103;LOC128022171;LOC128022197;LOC128022314;LOC128022353;LOC128022357;LOC128022362;LOC128022393;LOC128022595;LOC128022598;LOC128024976;LOC128025003;LOC128025028;LOC128025118;LOC128025370;LOC128025418;LOC128025456;LOC128025501;LOC128025518;LOC128025735;LOC128025866;LOC128025961;LOC128026141;LOC128026245;LOC128026255;LOC128026274;LOC128026333;LOC128026343;LOC128026354;LOC128026358;LOC128026373;LOC128026407;LOC128026426;LOC128026434;LOC128026748;LOC128026864;LOC128026865;LOC128026969;LOC128027050;LOC128027375;LOC128027394;LOC128027415;LOC128027459;LOC128027474;LOC128027479;LOC128027722;LOC128028557;LOC128028596;LOC128028768;LOC128028855;LOC128028866;LOC128028957;LOC128029302;LOC128029341;LOC128029405;LOC128030351;LOC128030363;LOC128030364;LOC128030391;LOC128030476;LOC128030605;LOC128030611;LOC128030613;LOC128030628;LOC128030729;LOC128030808;LOC128030875;LOC128030912;LOC128030995;LOC128031538;LOC128031647;LOC128031655;LOC128031669;LOC128031671;LOC128031712;LOC128031739;LOC128031782;abcb11a;abcc3;acer1;acsl4b;adad1;adad2;adamts2a;adamts3;ahnak;aldoab;alg13;alox12;alox5ap;amy2al1;aox6;arl14;atp1a1a.4;atp8b5a;aurka;azin1a;b3galt11;b3galt2;b3gnt2l;bco2l;blm;bub1bb;ca7;capn2a;casp3a;cdaa;cdc34a;cdc6;cdc7;cdk1;cdk19;cdk2;cdkn3;cftr;cln5;cmtr2;cnot6a;cpdp;cpox;cpt1a2b;cracr2b;ctdspla;ctsa;ctsc;ctsk;dclre1a;dctd;dctpp1;ddx39aa;ddx4;ddx43;dhfr;dnmt1;dnmt3bb.3;dph5;dpp7;dtx4a;dtymk;duox;dusp23a;dut;dyrk3;eef1a1l3;eef2k;egln1a;elac1;elovl6l;endou2;eri2;esco2;espl1;exd1;exd2;exo1;f13a1b;fen1;fgfr1a;fkbp6;frk;fynb;g2e3;gcnt7;gdpd4b;gdpd5a;gem;ggt5a;ggt5b;gig2d;gldc;gnaq;gpn2;gucy2ca;gucy2cb;gyg2;hacd4;henmt1;hprt1l;idh2;ifi30a;ifi30b;irg1l;itpk1a;jarid2b;jmjd6;kif11;kif15;kif22;kif23;kifc3;kita;kl;kmt5ab;kyat1;lfng;lgmn;lig1;lipia;lpcat4;ltc4s;lyn;map2k6;map3k15;mapk12b;mastl;mboat4;mcm3l;mcm6l;minpp1b;mkrn4;mlh1;mmp11b;mos;mov10l1;mus81;myh11a;mylipa;mylkb;myo1ca;naa40;neil3;nthl1;nxn;obi1;oga;orc4;ovch1;p4ha1b;pak1;paox;pcxb;pde3a;pde5ab;pdgfra;pdia4;pfkpb;phospho2;pias4b;pif1;pik3c3;pip5k1ba;pip5k1bb;pkma;pkmyt1;plcd1b;pld1b;plex9.2;plk1;plk3;plpp2b;ppm1da;prim1;prkcda;prkg3;prtfdc1b;ptgr1.2;ptpn22;rab11al;rab32a;rab3aa;rab3db;rac2;rad18;rasd3;renbp;rfc3;rheb;rnd3b;rock2b;rpp38;sae1;senp3b;senp6b;senp7b;sesn1;sesn4;si:ch211-141o9.10;si:ch211-153b23.4;si:ch211-217a12.1;si:dkey-181f22.4;si:dkey-266f7.9;si:dkey-66a8.7;si:rp71-17i16.5;smc2;sod3b;sptlc3;srpk2;st14a;st6galnac1.2;stk17a;stk31;stk33;sult2st3;suv39h1a;taok3a;tatdn2;tent4a;tent5ba;tesk1b;tet3;tgm2b;tinagl1;tmem269;tmprss4b;tnika;top2a;tpte;trib2;trim45;trip13;tstd1;tubb2;tyms;uhrf1;vat1;vrk1;wee2;zgc:112496;zgc:113142;zgc:136872;zgc:152968;zgc:153738;zgc:162952;zgc:173742;zgc:174164;zgc:55461;zgc:56231;zgc:64022;zgc:85932;zgc:92313
MF	structural molecule activity	100	0.0374531835205993	GO:0005198	LOC127933211;LOC127934755;LOC127935467;LOC127935470;LOC127935793;LOC127935820;LOC127938272;LOC127938273;LOC127938607;LOC127941708;LOC127942510;LOC127943217;LOC127943222;LOC127944208;LOC127944850;LOC127947201;LOC127948360;LOC127951249;LOC127951665;LOC127952437;LOC127952860;LOC127956350;LOC127957050;LOC127957694;LOC127959249;LOC127959558;LOC127962382;LOC127962388;LOC127962394;LOC127962397;LOC127962400;LOC127962957;LOC127963554;LOC127964597;LOC127965233;LOC127966633;LOC127968054;LOC127968702;LOC127970740;LOC127971401;LOC127971722;LOC127971888;LOC127975342;LOC127975862;LOC127976343;LOC127976359;LOC127977740;LOC127977742;LOC127977744;LOC127979200;LOC127979232;LOC127979595;LOC127983495;LOC127986389;LOC127986393;LOC127990770;LOC128011786;LOC128014390;LOC128014409;LOC128014411;LOC128014414;LOC128014415;LOC128015208;LOC128015585;LOC128015752;LOC128016336;LOC128017656;LOC128017661;LOC128017662;LOC128017667;LOC128018318;LOC128018566;LOC128018981;LOC128019461;LOC128019462;LOC128019625;LOC128019699;LOC128019736;LOC128019740;LOC128019741;LOC128019742;LOC128021418;LOC128026501;cldn7b;cldnb;cldnd;cldng;col1a1a;col5a3b;csrp1a;lad1;marveld1;nup35;ppl;tuba4l;tubb2;zgc:55461;zgc:92591;zp2l1;zp2l2
MF	transporter activity	111	0.0415730337078652	GO:0005215	LOC127938475;LOC127938774;LOC127941442;LOC127941622;LOC127942194;LOC127942244;LOC127942491;LOC127943038;LOC127944971;LOC127945009;LOC127945071;LOC127945988;LOC127946923;LOC127947122;LOC127947218;LOC127948447;LOC127949180;LOC127951653;LOC127951847;LOC127951947;LOC127952106;LOC127952854;LOC127952872;LOC127952895;LOC127953327;LOC127959910;LOC127965142;LOC127965574;LOC127966068;LOC127966342;LOC127966799;LOC127968111;LOC127968633;LOC127968785;LOC127969382;LOC127970367;LOC127970984;LOC127972277;LOC127972458;LOC127972905;LOC127974753;LOC127977161;LOC127977191;LOC127977899;LOC127979188;LOC127983722;LOC127986403;LOC127987641;LOC127988436;LOC127997491;LOC128010826;LOC128011124;LOC128012821;LOC128013302;LOC128015916;LOC128016432;LOC128016929;LOC128017743;LOC128019556;LOC128019936;LOC128020003;LOC128020178;LOC128021174;LOC128021390;LOC128021942;LOC128022362;LOC128022547;LOC128022781;LOC128024722;LOC128025401;LOC128026337;LOC128026343;LOC128028400;LOC128030573;LOC128030779;abcb11a;abcc3;aqp7;atp1a1a.4;atp8b5a;cax1;cftr;glrbb;gramd1bb;kcns3b;kpna7;mcl1b;mcoln3b;mfsd10;mfsd12b;slc1a1;slc24a4a;slc25a24;slc25a37;slc28a1;slc29a1a;slc2a1b;slc35d1a;slc37a4b;slc39a4;slc39a8;slc43a2b;slc43a3a;slc44a1a;slc48a1b;slc5a1;slc5a9;tmc5;tmem144b;tpte;ucp3
